t	Vm run 00	Vm run 01	Vm run 02	Vm run 03	Vm run 04	Vm run 05
323.175	-75.6642458996	-74.8060830714	-77.1521227375	-72.3117210146	-75.6418599264	-75.0218133532
323.2	-75.6706192555	-74.7148360363	-77.1581019988	-72.3056646507	-75.6463556089	-75.0337477864
323.225	-75.6773382835	-74.621768841	-77.1638061798	-72.3016523642	-75.6510820563	-75.0423369317
323.25	-75.6843868479	-74.5294907632	-77.1692785487	-72.2995703972	-75.6560471368	-75.0474243513
323.275	-75.6917495196	-74.4397886674	-77.1745632922	-72.2993125695	-75.661256867	-75.0490952807
323.3	-75.6994115396	-74.3538390289	-77.1797039911	-72.3007795986	-75.666715584	-75.0475996405
323.325	-75.7073587843	-74.2723735427	-77.1847424928	-72.3038784918	-75.672426112	-75.0432838973
323.35	-75.7155777329	-74.1958042362	-77.1897181226	-72.3085220013	-75.6786262123	-75.0365388272
323.375	-75.7240554361	-74.1243165964	-77.1946671731	-72.3146281371	-75.6852936228	-75.027763131
323.4	-75.7327794828	-74.0579382847	-77.1996226123	-72.3221197307	-75.6923877658	-75.0173401393
323.425	-75.741737948	-73.9965894884	-77.204613963	-72.3309240443	-75.6998757349	-75.005624311
323.45	-75.750919304	-73.9401195542	-77.2096673084	-72.3409724202	-75.7077314885	-74.9922848027
323.475	-75.7603122778	-73.8883334243	-77.2148053896	-72.352199966	-75.7159334229	-74.976536369
323.5	-75.7699056585	-73.8410105204	-77.2200477664	-72.3645452719	-75.7244627999	-74.9576390934
323.525	-75.7796880724	-73.7979180613	-77.2254110185	-72.3779501557	-75.7333028318	-74.9351918522
323.55	-75.789647763	-73.7588202941	-77.2309089715	-72.3923594334	-75.7424381348	-74.9091838532
323.575	-75.7997724089	-73.7234847448	-77.2365529319	-72.4077207117	-75.7518543824	-74.8799155158
323.6	-75.8100490119	-73.6916863077	-77.2423519255	-72.4239842003	-75.7615380759	-74.8478836439
323.625	-75.8204638716	-73.6632097837	-77.2483129283	-72.4411025415	-75.771476384	-74.8136789622
323.65	-75.8310026483	-73.6378513151	-77.2544410889	-72.4590306556	-75.7816570277	-74.777911254
323.675	-75.841650504	-73.6154190471	-77.2607399366	-72.4777255997	-75.7920681971	-74.7411615515
323.7	-75.8523923039	-73.5957332595	-77.267211576	-72.4971464381	-75.8026984897	-74.7039554653
323.725	-75.8632128543	-73.5786261416	-77.273856865	-72.5172541242	-75.8135368662	-74.6667511967
323.75	-75.8740971542	-73.5639413384	-77.2806755772	-72.53801139	-75.8245726183	-74.6299369282
323.775	-75.8850306417	-73.5515333593	-77.2876665502	-72.5593826449	-75.8357953471	-74.5938337434
323.8	-75.8959994176	-73.5412669109	-77.2948278172	-72.5813338814	-75.8471949491	-74.5587014771
323.825	-75.9069904365	-73.533016201	-77.3021567264	-72.6038325865	-75.8587616081	-74.5247458362
323.85	-75.9179916583	-73.5266642416	-77.3096500468	-72.6268476601	-75.8704857922	-74.4921257839
323.875	-75.9289921581	-73.5221021716	-77.3173040621	-72.6503493377	-75.8823582528	-74.460960612
323.9	-75.939982196	-73.5192286122	-77.3251146542	-72.6743091194	-75.8943700275	-74.4313364032
323.925	-75.9509532486	-73.5179490615	-77.3330773764	-72.6986997029	-75.9065124433	-74.4033117597
323.95	-75.961898008	-73.518175331	-77.3411875181	-72.7234949221	-75.9187771202	-74.3769227717
323.975	-75.9728103531	-73.5198250268	-77.3494401615	-72.7486696898	-75.9311559758	-74.3521872617
324.0	-75.9836852989	-73.5228210739	-77.357830231	-72.7741999445	-75.943641228	-74.3291083653
324.025	-75.9945189293	-73.527091281	-77.3663525366	-72.8000626026	-75.9562253983	-74.3076775254
324.05	-76.0053083177	-73.5325679452	-77.3750018112	-72.8262355132	-75.9689013128	-74.287876976
324.075	-76.0160514407	-73.5391874921	-77.3837727439	-72.8526974174	-75.9816621024	-74.2696817883
324.1	-76.0267470879	-73.54689015	-77.3926600071	-72.8794279108	-75.9945012018	-74.2530615484
324.125	-76.0373947704	-73.5556196536	-77.4016582821	-72.9064074089	-76.0074123459	-74.2379817241
324.15	-76.0479946318	-73.5653229762	-77.4107622786	-72.9336171155	-76.0203895622	-74.2244047733
324.175	-76.058547362	-73.5759500864	-77.4199591952	-72.9610389933	-76.0334271578	-74.2122910392
324.2	-76.0690541159	-73.5874537275	-77.4292163051	-72.9886557369	-76.0465196956	-74.1922764834
324.225	-76.0795164377	-73.5997892169	-77.4384724932	-73.0164507475	-76.0596619597	-74.1602781019
324.25	-76.0899361913	-73.6129142646	-77.4476389227	-73.0444081085	-76.0728489077	-74.1167713095
324.275	-76.1003154974	-73.6267888068	-77.4566079481	-73.0725125622	-76.0860756115	-74.0641613074
324.3	-76.1106566759	-73.6413748553	-77.465266123	-73.1007494857	-76.0993371928	-74.0052465693
324.325	-76.1209621963	-73.6566363593	-77.4735070609	-73.1291048645	-76.1126287556	-73.942575129
324.35	-76.1312346323	-73.6725390794	-77.4812414173	-73.1575652623	-76.1259453245	-73.8782453392
324.375	-76.1414766235	-73.6890504724	-77.4884029562	-73.1861177853	-76.139281794	-73.8138926283
324.4	-76.1516908412	-73.7061395849	-77.4949508733	-73.2147500388	-76.152632892	-73.7507434988
324.425	-76.1618799599	-73.7237769563	-77.5008691738	-73.2434500755	-76.1659931625	-73.6896868555
324.45	-76.1720466326	-73.7419345291	-77.5061640718	-73.2722063339	-76.1793569659	-73.6313430686
324.475	-76.1821934705	-73.7605855665	-77.5108603022	-73.3010075691	-76.1927184973	-73.5761240124
324.5	-76.1923230258	-73.7797045755	-77.5149970323	-73.3298427779	-76.2060718208	-73.5242826274
324.525	-76.2024377781	-73.799267237	-77.5186238557	-73.3587011227	-76.2194109152	-73.475952643
324.55	-76.2125401229	-73.8192503398	-77.5217971583	-73.3875718594	-76.2327297295	-73.4311798075
324.575	-76.2226323634	-73.8396317199	-77.5245770064	-73.416444274	-76.2460222422	-73.3899461022
324.6	-76.2327167039	-73.8603902041	-77.5270246062	-73.4453076343	-76.2592825233	-73.3521883064
324.625	-76.2427952445	-73.8815055565	-77.5292003191	-73.4741511576	-76.2725047942	-73.3178120878
324.65	-76.2528699787	-73.9029584296	-77.5311621812	-73.5029639995	-76.2856834841	-73.286702596
324.675	-76.2629427908	-73.9247303173	-77.5329648591	-73.5317352619	-76.2988132813	-73.2587323439
324.7	-76.2730154556	-73.9468035108	-77.5346589652	-73.5604540198	-76.3118891762	-73.2337670067
324.725	-76.2830896387	-73.969161058	-77.536290665	-73.5891093644	-76.3249064987	-73.2116696293
324.75	-76.2931668969	-73.9917867234	-77.5379015091	-73.6176904591	-76.3378609458	-73.1923036277
324.775	-76.3032486804	-74.0146649513	-77.5395284355	-73.6461866046	-76.3507486029	-73.1755348832
324.8	-76.3133363346	-74.0377808307	-77.5412038964	-73.6745873094	-76.3635659565	-73.1612331568
324.825	-76.3234311027	-74.0611120474	-77.5429560703	-73.7028823614	-76.376309901	-73.149273001
324.85	-76.3335340516	-74.0846154648	-77.5448091307	-73.7310618979	-76.3889777383	-73.1395343026
324.875	-76.3436457822	-74.1082176135	-77.546783548	-73.7591164709	-76.4015671723	-73.1319025571
324.9	-76.3537658538	-74.1318147535	-77.5488964058	-73.7870371054	-76.4140762984	-73.126268952
324.925	-76.363891995	-74.1552818235	-77.5511617209	-73.814815349	-76.4265035885	-73.121936107
324.95	-76.3740193068	-74.1784860314	-77.5535907549	-73.8424433124	-76.438847872	-73.1178290801
324.975	-76.3841396897	-74.2013006032	-77.5561923139	-73.869913699	-76.4511083131	-73.1129295097
325.0	-76.3942416625	-74.2236157164	-77.5589730293	-73.8972198244	-76.4632843846	-73.1065349127
325.025	-76.4043106283	-74.2453454036	-77.5619376197	-73.9243556267	-76.475375838	-73.0983151293
325.05	-76.4143295378	-74.2664305125	-77.5650891317	-73.9513156659	-76.4873826707	-73.088254655
325.075	-76.4242798269	-74.2868384991	-77.5684291583	-73.9780951168	-76.4993050912	-73.0765579555
325.1	-76.434142482	-74.3065610492	-77.571958038	-74.004689753	-76.5111434826	-73.0635591377
325.125	-76.4438990928	-74.3256104574	-77.5756750322	-74.0310959255	-76.5228983666	-73.0496513331
325.15	-76.4535327867	-74.3440155019	-77.5795784852	-74.0573105362	-76.5345703683	-73.035237707
325.175	-76.4630289736	-74.361817335	-77.5836659653	-74.0833310078	-76.5461601835	-73.0207006775
325.2	-76.4723758739	-74.3790657092	-77.5879343892	-74.1091552508	-76.5576685497	-73.0063846884
325.225	-76.4815648248	-74.3958157122	-77.5923801222	-74.1347816295	-76.5690962217	-72.9925883031
